wavelength_nm,reflectance
400,0.521
405,0.529
410,0.536
415,0.541
420,0.544
425,0.542
430,0.537
435,0.531
440,0.524
445,0.518
450,0.515
455,0.517
460,0.523
465,0.532
470,0.542
475,0.551
480,0.556
485,0.557
490,0.554
495,0.548
500,0.541
505,0.535
510,0.532
515,0.535
520,0.542
525,0.552
530,0.561
535,0.567
540,0.568
545,0.564
550,0.557
555,0.549
560,0.544
565,0.544
570,0.55
575,0.56
580,0.57
585,0.576
590,0.575
595,0.568
600,0.559
605,0.551
610,0.548
615,0.552
620,0.561
625,0.57
630,0.575
635,0.573
640,0.565
645,0.555
650,0.549
655,0.551
660,0.56
665,0.569
670,0.572
675,0.567
680,0.557
685,0.55
690,0.551
695,0.56
700,0.567
705,0.566
710,0.558
715,0.55
720,0.55
725,0.558
730,0.564
735,0.56
740,0.551
745,0.548
750,0.555
755,0.562
760,0.557
765,0.548
770,0.548
775,0.557
780,0.562
785,0.555
790,0.547
795,0.549
800,0.558
805,0.561
810,0.552
815,0.546
820,0.551
825,0.56
830,0.559
835,0.55
840,0.547
845,0.554
850,0.561
855,0.557
860,0.549
865,0.55
870,0.558
875,0.562
880,0.555
885,0.548
890,0.552
895,0.56
900,0.559
905,0.551
910,0.548
915,0.555
920,0.562
925,0.557
930,0.549
935,0.55
940,0.558
945,0.561
950,0.554
955,0.548
960,0.552
965,0.56
970,0.558
975,0.55
980,0.548
985,0.555
990,0.561
995,0.557
1000,0.55
